ID_hecho,FECHA,ROL,SEXO,EDAD,FECHA_FALLECIMIENTO
2016-0001,1/1/2016,CONDUCTOR,MASCULINO,19.0,1/1/2016
2016-0002,1/2/2016,CONDUCTOR,MASCULINO,70.0,1/2/2016
2016-0003,1/3/2016,CONDUCTOR,MASCULINO,30.0,1/3/2016
2016-0004,1/10/2016,CONDUCTOR,MASCULINO,18.0,SD
2016-0005,1/21/2016,CONDUCTOR,MASCULINO,29.0,2/1/2016
2016-0008,1/24/2016,CONDUCTOR,MASCULINO,30.0,1/24/2016
2016-0009,1/24/2016,PASAJERO,MASCULINO,29.0,1/26/2016
2016-0010,1/29/2016,CONDUCTOR,MASCULINO,18.0,1/29/2016
2016-0012,2/8/2016,CONDUCTOR,MASCULINO,22.0,2/8/2016
2016-0013,2/10/2016,PEATON,MASCULINO,16.0,2/10/2016
2016-0015,2/14/2016,PEATON,FEMENINO,16.0,2/14/2016
2016-0016,2/14/2016,PASAJERO,FEMENINO,19.0,2/14/2016
2016-0017,2/15/2016,PEATON,MASCULINO,59.0,2/16/2016
2016-0019,2/17/2016,PEATON,FEMENINO,65.0,2/17/2016
2016-0020,2/17/2016,PEATON,MASCULINO,59.0,3/2/2016
2016-0021,2/17/2016,CONDUCTOR,MASCULINO,34.0,2/17/2016
2016-0022,2/21/2016,PASAJERO,MASCULINO,41.0,SD
2016-0025,2/28/2016,PASAJERO,MASCULINO,34.0,2/28/2016
2016-0026,2/28/2016,CONDUCTOR,MASCULINO,30.0,3/4/2016
2016-0027,2/28/2016,PASAJERO,MASCULINO,34.0,SD
2016-0028,3/2/2016,PEATON,MASCULINO,50.0,3/2/2016
2016-0029,3/4/2016,PEATON,MASCULINO,38.0,3/4/2016
2016-0031,3/8/2016,CONDUCTOR,MASCULINO,21.0,SD
2016-0034,3/12/2016,PEATON,MASCULINO,52.0,3/12/2016
2016-0035,3/13/2016,CONDUCTOR,MASCULINO,34.0,3/13/2016
2016-0036,3/14/2016,PASAJERO,MASCULINO,36.0,3/14/2016
2016-0037,3/19/2016,CONDUCTOR,MASCULINO,20.0,3/19/2016
2016-0038,3/21/2016,PEATON,MASCULINO,29.0,3/21/2016
2016-0039,3/23/2016,CONDUCTOR,MASCULINO,20.0,3/23/2016
2016-0041,3/29/2016,CONDUCTOR,MASCULINO,54.0,3/29/2016
2016-0041,3/29/2016,PASAJERO,MASCULINO,,3/30/2016
2016-0043,3/30/2016,PEATON,FEMENINO,56.0,3/30/2016
2016-0044,3/31/2016,CONDUCTOR,MASCULINO,24.0,3/31/2016
2016-0045,4/11/2016,CONDUCTOR,MASCULINO,,SD
2016-0047,4/15/2016,PEATON,MASCULINO,41.0,4/15/2016
2016-0048,4/15/2016,PEATON,FEMENINO,,SD
2016-0049,4/17/2016,SD,SD,,SD
2016-0050,4/19/2016,PEATON,MASCULINO,78.0,4/19/2016
2016-0051,4/20/2016,CONDUCTOR,MASCULINO,36.0,4/20/2016
2016-0052,4/20/2016,SD,SD,,SD
2016-0053,4/22/2016,PEATON,MASCULINO,38.0,4/22/2016
2016-0054,4/23/2016,CONDUCTOR,MASCULINO,30.0,4/25/2016
