ID_hecho,FECHA,ROL,SEXO,EDAD,FECHA_FALLECIMIENTO,gen_bin,AAAA,MES,AÑO_FALLECIMIENTO,MES_FALLECIMIENTO
2016-0001,2016-01-01,CONDUCTOR,MASCULINO,19.0,2016-01-01,0.0,2016,1,2016.0,1.0
2016-0002,2016-01-02,CONDUCTOR,MASCULINO,70.0,2016-01-02,0.0,2016,1,2016.0,1.0
2016-0003,2016-01-03,CONDUCTOR,MASCULINO,30.0,2016-01-03,0.0,2016,1,2016.0,1.0
2016-0004,2016-01-10,CONDUCTOR,MASCULINO,18.0,,0.0,2016,1,,
2016-0005,2016-01-21,CONDUCTOR,MASCULINO,29.0,2016-02-01,0.0,2016,1,2016.0,2.0
2016-0008,2016-01-24,CONDUCTOR,MASCULINO,30.0,2016-01-24,0.0,2016,1,2016.0,1.0
2016-0009,2016-01-24,PASAJERO,MASCULINO,29.0,2016-01-26,0.0,2016,1,2016.0,1.0
2016-0010,2016-01-29,CONDUCTOR,MASCULINO,18.0,2016-01-29,0.0,2016,1,2016.0,1.0
2016-0012,2016-02-08,CONDUCTOR,MASCULINO,22.0,2016-02-08,0.0,2016,2,2016.0,2.0
2016-0013,2016-02-10,PEATON,MASCULINO,16.0,2016-02-10,0.0,2016,2,2016.0,2.0
2016-0015,2016-02-14,PEATON,FEMENINO,16.0,2016-02-14,1.0,2016,2,2016.0,2.0
2016-0016,2016-02-14,PASAJERO,FEMENINO,19.0,2016-02-14,1.0,2016,2,2016.0,2.0
2016-0017,2016-02-15,PEATON,MASCULINO,59.0,2016-02-16,0.0,2016,2,2016.0,2.0
2016-0019,2016-02-17,PEATON,FEMENINO,65.0,2016-02-17,1.0,2016,2,2016.0,2.0
2016-0020,2016-02-17,PEATON,MASCULINO,59.0,2016-03-02,0.0,2016,2,2016.0,3.0
2016-0021,2016-02-17,CONDUCTOR,MASCULINO,34.0,2016-02-17,0.0,2016,2,2016.0,2.0
2016-0022,2016-02-21,PASAJERO,MASCULINO,41.0,,0.0,2016,2,,
2016-0025,2016-02-28,PASAJERO,MASCULINO,34.0,2016-02-28,0.0,2016,2,2016.0,2.0
2016-0026,2016-02-28,CONDUCTOR,MASCULINO,30.0,2016-03-04,0.0,2016,2,2016.0,3.0
2016-0027,2016-02-28,PASAJERO,MASCULINO,34.0,,0.0,2016,2,,
2016-0028,2016-03-02,PEATON,MASCULINO,50.0,2016-03-02,0.0,2016,3,2016.0,3.0
2016-0029,2016-03-04,PEATON,MASCULINO,38.0,2016-03-04,0.0,2016,3,2016.0,3.0
2016-0031,2016-03-08,CONDUCTOR,MASCULINO,21.0,,0.0,2016,3,,
2016-0034,2016-03-12,PEATON,MASCULINO,52.0,2016-03-12,0.0,2016,3,2016.0,3.0
2016-0035,2016-03-13,CONDUCTOR,MASCULINO,34.0,2016-03-13,0.0,2016,3,2016.0,3.0
2016-0036,2016-03-14,PASAJERO,MASCULINO,36.0,2016-03-14,0.0,2016,3,2016.0,3.0
